date,ind,rain,ind.1,temp,ind.2,wetb,dewpt,vappr,rhum,msl,ind.3,wdsp,ind.4,wddir,ww,w,sun,vis,clht,clamt,new_date_time,new_date
10-sep-2024 00:00,0,0.0,0,14.1,0,12.6,11.3,13.4,83,1009.5,2,12,2,250,2,52,0.0,20000,15,7,2024-09-10 00:00:00,2024-09-10
10-sep-2024 01:00,0,0.0,0,14.1,0,12.4,10.9,13.0,81,1008.8,2,13,2,250,2,11,0.0,20000,14,7,2024-09-10 01:00:00,2024-09-10
10-sep-2024 02:00,2,0.0,0,14.0,0,12.6,11.3,13.5,84,1008.2,2,12,2,250,50,22,0.0,20000,13,7,2024-09-10 02:00:00,2024-09-10
10-sep-2024 03:00,0,0.0,0,13.8,0,12.7,11.8,13.8,87,1007.2,2,12,2,250,2,52,0.0,20000,10,7,2024-09-10 03:00:00,2024-09-10
10-sep-2024 04:00,0,0.0,0,13.7,0,12.4,11.2,13.4,85,1006.5,2,13,2,250,2,11,0.0,20000,15,7,2024-09-10 04:00:00,2024-09-10
10-sep-2024 05:00,0,0.0,0,13.0,0,11.3,9.6,12.0,80,1006.5,2,16,2,260,2,11,0.0,20000,50,6,2024-09-10 05:00:00,2024-09-10
10-sep-2024 06:00,0,0.0,0,13.1,0,11.2,9.4,11.8,78,1006.1,2,13,2,250,2,52,0.0,20000,21,7,2024-09-10 06:00:00,2024-09-10
10-sep-2024 07:00,2,0.0,0,12.7,0,11.5,10.3,12.6,86,1006.1,2,14,2,260,50,52,0.0,16000,15,7,2024-09-10 07:00:00,2024-09-10
10-sep-2024 08:00,0,0.4,0,11.1,0,9.7,8.3,10.9,83,1007.1,2,15,2,280,21,65,0.0,20000,28,8,2024-09-10 08:00:00,2024-09-10
10-sep-2024 09:00,2,0.0,0,11.5,0,9.8,8.1,10.7,79,1007.1,2,11,2,280,20,65,0.0,20000,30,8,2024-09-10 09:00:00,2024-09-10
10-sep-2024 10:00,0,0.1,0,11.3,0,10.4,9.5,11.9,89,1007.4,2,13,2,280,58,65,0.0,20000,15,8,2024-09-10 10:00:00,2024-09-10
10-sep-2024 11:00,0,0.1,0,11.4,0,10.3,9.3,11.6,86,1007.1,2,11,2,270,58,65,0.0,9000,12,8,2024-09-10 11:00:00,2024-09-10
