Number,Yield(kWh),Earning(EUR),Full Load Hours(h),Charged(kWh),Discharged(kWh),Exported(kWh),Imported(kWh),Net Import(kWh),Load(kWh),Month,Source_File
1,24.3,4.86,2.91,8.0,7.0,15.0,5.4,-9.6,13.7,2024-10-01,Monthly+Power+Station+Chart_19-11-2025 (1).xls
2,25.4,5.08,3.04,7.0,5.0,17.28,5.64,-11.64,11.76,2024-10-01,Monthly+Power+Station+Chart_19-11-2025 (1).xls
3,22.1,4.42,2.64,6.0,7.0,15.24,4.32,-10.92,12.18,2024-10-01,Monthly+Power+Station+Chart_19-11-2025 (1).xls
4,6.6,1.32,0.79,8.0,7.0,0.12,5.4,5.28,10.88,2024-10-01,Monthly+Power+Station+Chart_19-11-2025 (1).xls
5,8.3,1.66,0.99,7.0,7.0,0.0,5.64,5.64,13.94,2024-10-01,Monthly+Power+Station+Chart_19-11-2025 (1).xls
6,8.6,1.72,1.03,8.0,8.0,0.12,6.0,5.88,14.48,2024-10-01,Monthly+Power+Station+Chart_19-11-2025 (1).xls
7,18.0,3.6,2.15,6.0,5.0,11.76,7.32,-4.44,12.56,2024-10-01,Monthly+Power+Station+Chart_19-11-2025 (1).xls
8,20.4,4.08,2.44,8.0,7.0,11.88,6.24,-5.64,13.76,2024-10-01,Monthly+Power+Station+Chart_19-11-2025 (1).xls
9,8.0,1.6,0.96,8.0,8.0,1.92,5.76,3.84,11.84,2024-10-01,Monthly+Power+Station+Chart_19-11-2025 (1).xls
10,22.7,4.54,2.72,7.0,7.0,14.52,5.4,-9.12,13.58,2024-10-01,Monthly+Power+Station+Chart_19-11-2025 (1).xls
11,19.2,3.84,2.3,6.0,4.0,13.32,5.52,-7.8,9.4,2024-10-01,Monthly+Power+Station+Chart_19-11-2025 (1).xls
12,19.7,3.94,2.36,6.0,5.0,11.4,3.72,-7.68,11.02,2024-10-01,Monthly+Power+Station+Chart_19-11-2025 (1).xls
13,7.0,1.4,0.84,5.0,7.0,0.0,4.92,4.92,13.92,2024-10-01,Monthly+Power+Station+Chart_19-11-2025 (1).xls
14,20.2,4.04,2.42,9.0,6.0,9.12,5.76,-3.36,13.84,2024-10-01,Monthly+Power+Station+Chart_19-11-2025 (1).xls
15,7.5,1.5,0.9,6.0,8.0,0.84,3.36,2.52,12.02,2024-10-01,Monthly+Power+Station+Chart_19-11-2025 (1).xls
16,8.0,1.6,0.96,6.0,6.0,2.52,7.2,4.68,12.68,2024-10-01,Monthly+Power+Station+Chart_19-11-2025 (1).xls
17,16.1,3.22,1.93,7.0,4.0,8.04,5.88,-2.16,10.94,2024-10-01,Monthly+Power+Station+Chart_19-11-2025 (1).xls
18,3.5,0.7,0.42,6.0,7.0,0.0,6.48,6.48,10.98,2024-10-01,Monthly+Power+Station+Chart_19-11-2025 (1).xls
19,17.3,3.46,2.07,7.0,6.0,9.48,6.0,-3.48,12.82,2024-10-01,Monthly+Power+Station+Chart_19-11-2025 (1).xls
20,12.9,2.58,1.54,6.0,6.0,5.64,4.32,-1.32,11.58,2024-10-01,Monthly+Power+Station+Chart_19-11-2025 (1).xls
21,16.3,3.26,1.95,6.0,4.0,10.92,4.8,-6.12,8.18,2024-10-01,Monthly+Power+Station+Chart_19-11-2025 (1).xls
22,11.7,2.34,1.4,5.0,6.0,4.2,3.48,-0.72,11.98,2024-10-01,Monthly+Power+Station+Chart_19-11-2025 (1).xls
23,11.9,2.38,1.42,7.0,7.0,4.08,4.68,0.6,12.5,2024-10-01,Monthly+Power+Station+Chart_19-11-2025 (1).xls
24,8.0,1.6,0.96,8.0,8.0,0.24,4.08,3.84,11.84,2024-10-01,Monthly+Power+Station+Chart_19-11-2025 (1).xls
25,4.7,0.94,0.56,6.0,6.0,0.0,9.0,9.0,13.7,2024-10-01,Monthly+Power+Station+Chart_19-11-2025 (1).xls
