Date,Number,Month,Yield(kWh),Earning(EUR),Full Load Hours(h),Charged(kWh),Discharged(kWh),Exported(kWh),Imported(kWh),Net Import(kWh),Load(kWh),Total_Yield(kWh),Source_File
2025-01-01,1,01-2025,210.0,42.0,25.12,144.0,133.0,60.48,234.24,173.76,372.76,8.4,Annual+Power+Station+Chart_19-11-2025 (1).xls
2025-02-01,2,02-2025,237.0,47.4,28.35,150.0,140.0,91.56,195.48,103.92,330.92,8.4,Annual+Power+Station+Chart_19-11-2025 (1).xls
2025-03-01,3,03-2025,602.0,120.4,72.01,175.0,161.0,388.2,156.48,-231.72,356.28,8.4,Annual+Power+Station+Chart_19-11-2025 (1).xls
2025-04-01,4,04-2025,896.0,179.2,107.18,139.0,131.0,687.36,116.04,-571.32,316.68,8.4,Annual+Power+Station+Chart_19-11-2025 (1).xls
2025-05-01,5,05-2025,1280.0,256.0,153.11,101.0,92.0,1053.6,86.76,-966.84,304.16,8.4,Annual+Power+Station+Chart_19-11-2025 (1).xls
2025-06-01,6,06-2025,994.5,198.9,118.96,100.0,93.0,755.64,78.6,-677.04,310.46,8.4,Annual+Power+Station+Chart_19-11-2025 (1).xls
2025-07-01,7,07-2025,981.7,196.34,117.43,116.0,112.0,752.52,89.88,-662.64,315.06,8.4,Annual+Power+Station+Chart_19-11-2025 (1).xls
2025-08-01,8,08-2025,878.0,175.6,105.02,144.0,132.0,624.6,113.4,-511.2,354.8,8.4,Annual+Power+Station+Chart_19-11-2025 (1).xls
2025-09-01,9,09-2025,571.5,114.3,68.36,157.0,150.0,355.08,112.92,-242.16,322.34,8.4,Annual+Power+Station+Chart_19-11-2025 (1).xls
2025-10-01,10,10-2025,292.1,58.42,34.94,203.0,192.0,107.52,197.76,90.24,371.34,8.4,Annual+Power+Station+Chart_19-11-2025 (1).xls
2025-11-01,11,11-2025,100.7,20.14,12.05,87.0,81.0,35.76,111.72,75.96,170.66,8.4,Annual+Power+Station+Chart_19-11-2025 (1).xls
2024-09-01,1,09-2024,353.0,70.6,42.22,108.0,104.0,192.72,80.64,-112.08,236.92,8.4,Annual+Power+Station+Chart_19-11-2025.xls
2024-10-01,2,10-2024,385.0,77.0,46.05,205.0,192.0,176.88,180.72,3.84,375.84,8.4,Annual+Power+Station+Chart_19-11-2025.xls
2024-11-01,3,11-2024,166.0,33.2,19.86,155.0,144.0,41.16,228.96,187.8,342.8,8.4,Annual+Power+Station+Chart_19-11-2025.xls
2024-12-01,4,12-2024,119.0,23.8,14.23,128.0,119.0,14.16,251.88,237.72,347.72,8.4,Annual+Power+Station+Chart_19-11-2025.xls
