Temperature(C),Humidity(%),Solar Radiation(W/m^2)
5.7,85.0,0.0
5.616666666666667,85.16666666666667,0.0
5.533333333333333,85.33333333333333,0.0
5.45,85.5,0.0
5.366666666666667,85.66666666666667,0.0
5.283333333333333,85.83333333333333,0.0
5.2,86.0,0.0
5.116666666666667,85.66666666666667,0.0
5.033333333333333,85.33333333333333,0.0
4.95,85.0,0.0
4.866666666666667,84.66666666666667,0.0
4.783333333333333,84.33333333333333,0.0
4.7,84.0,0.0
4.666666666666667,84.0,0.0
4.633333333333334,84.0,0.0
4.6,84.0,0.0
4.566666666666666,84.0,0.0
4.533333333333333,84.0,0.0
4.5,84.0,0.0
4.5,84.0,0.0
4.5,84.0,0.0
4.5,84.0,0.0
4.5,84.0,0.0
4.5,84.0,0.0
4.5,84.0,0.0
4.45,83.83333333333333,0.0
4.4,83.66666666666667,0.0
4.35,83.5,0.0
4.3,83.33333333333333,0.0
4.25,83.16666666666667,0.0
4.2,83.0,0.0
4.133333333333334,82.83333333333333,0.0
4.066666666666666,82.66666666666667,0.0
4.0,82.5,0.0
3.933333333333333,82.33333333333333,0.0
3.8666666666666667,82.16666666666667,0.0
3.8,82.0,0.0
3.8499999999999996,82.16666666666667,0.0
3.9,82.33333333333333,0.0
3.9499999999999997,82.5,0.0
3.9999999999999996,82.66666666666667,0.0
4.05,82.83333333333333,0.0
4.1,83.0,0.0
4.05,83.16666666666667,0.0
3.9999999999999996,83.33333333333333,0.0
3.9499999999999997,83.5,0.0
3.9,83.66666666666667,0.0
3.8499999999999996,83.83333333333333,0.0
3.8,84.0,0.0
3.783333333333333,83.66666666666667,2.0
3.7666666666666666,83.33333333333333,4.0
3.75,83.0,6.0
3.7333333333333334,82.66666666666667,8.0
3.716666666666667,82.33333333333333,10.0
3.7,82.0,12.0
3.7333333333333334,82.33333333333333,12.666666666666666
3.7666666666666666,82.66666666666667,13.333333333333334
3.8,83.0,14.0
3.8333333333333335,83.33333333333333,14.666666666666666
3.8666666666666667,83.66666666666667,15.333333333333332
3.9,84.0,16.0
4.033333333333333,83.83333333333333,16.5
4.166666666666667,83.66666666666667,17.0
4.3,83.5,17.5
4.433333333333334,83.33333333333333,18.0
4.566666666666666,83.16666666666667,18.5
4.7,83.0,19.0
4.9,82.0,18.833333333333332
5.1000000000000005,81.0,18.666666666666668
5.300000000000001,80.0,18.5
5.5,79.0,18.333333333333332
5.7,78.0,18.166666666666668
5.9,77.0,18.0
5.866666666666667,78.83333333333333,17.0
5.833333333333334,80.66666666666667,16.0
5.800000000000001,82.5,15.0
5.766666666666667,84.33333333333333,14.0
5.733333333333333,86.16666666666667,13.0
5.7,88.0,12.0
5.783333333333333,88.33333333333333,11.166666666666666
5.866666666666667,88.66666666666667,10.333333333333334
5.95,89.0,9.5
6.033333333333333,89.33333333333333,8.666666666666666
6.116666666666667,89.66666666666667,7.833333333333333
6.2,90.0,7.0
6.316666666666666,91.16666666666667,6.166666666666667
6.433333333333334,92.33333333333333,5.333333333333333
6.550000000000001,93.5,4.5
6.666666666666667,94.66666666666667,3.6666666666666665
6.783333333333333,95.83333333333333,2.833333333333333
6.9,97.0,2.0
7.066666666666667,97.0,1.6666666666666667
7.233333333333333,97.0,1.3333333333333335
7.4,97.0,1.0
7.566666666666667,97.0,0.6666666666666667
7.733333333333333,97.0,0.3333333333333335
7.9,97.0,0.0
8.0,97.33333333333333,0.0
8.1,97.66666666666667,0.0
8.2,98.0,0.0
8.3,98.33333333333333,0.0
8.4,98.66666666666667,0.0
8.5,99.0,0.0
8.55,98.83333333333333,0.0
