# Coding: utf-8,
# File format version: 2,
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).,
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.,
#           Returns the global,beam and diffuse irradiations integrated over a selected time step
#           for a selected location (geostationary satellite coverage) and a selected period.,
# The research leading to these results has received funding from the European Union within the Copernicus programme.,
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany),
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service,
# Date begin (ISO 8601): 2024-08-22T00:00:00.0,
# Date end (ISO 8601): 2025-12-23T00:00:00.0,
# Latitude (positive North,ISO 19115): 53.6985
# Longitude (positive East,ISO 19115): -6.2080
# Altitude (m): 0.00,
# Time reference: Universal time (UT),
#,
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11),
# CF Standard Names registry of ObservablePropertyValue,
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html,
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6,
# ObservableProperty,
"#     basePhenomenon:""integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time""",
"#     uom:""Wh m-2"" [unit]",
# StatisticalMeasure,
"#     statisticalFunction: ""sum""",
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s,
# noValue: nan,
# File generated on: 2025-12-24,
#,
# Columns:,
# 1. Observation period (ISO 8601),
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2),
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2),
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2),
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2),
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2),
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2),
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2),
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2),
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2),
#11. Reliability. Proportion of reliable data in the summarization (0-1),
#,
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability,
2024-08-22T00:00:00.0/2024-08-22T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-08-22T01:00:00.0/2024-08-22T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-08-22T02:00:00.0/2024-08-22T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-08-22T03:00:00.0/2024-08-22T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-08-22T04:00:00.0/2024-08-22T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-08-22T05:00:00.0/2024-08-22T06:00:00.0;37.8918;14.1471;5.3419;8.8053;81.0828;14.1471;5.3419;8.8053;81.0828;0.6917,
2024-08-22T06:00:00.0/2024-08-22T07:00:00.0;223.4803;124.0275;78.9562;45.0713;450.1718;93.8106;36.3001;57.5105;246.1021;0.9667,
2024-08-22T07:00:00.0/2024-08-22T08:00:00.0;422.3444;277.3638;204.5210;72.8429;640.0440;254.6498;169.1917;85.4582;514.7469;1.0000,
2024-08-22T08:00:00.0/2024-08-22T09:00:00.0;607.1269;431.5630;336.3301;95.2329;736.1432;254.0886;70.4154;183.6732;168.0997;1.0000,
2024-08-22T09:00:00.0/2024-08-22T10:00:00.0;765.2092;563.6393;443.9312;119.7080;772.6263;195.9373;3.6578;192.2795;6.0918;1.0000,
2024-08-22T10:00:00.0/2024-08-22T11:00:00.0;885.7906;660.2204;510.8235;149.3969;768.2287;330.4804;33.6257;296.8547;49.5921;1.0000,
2024-08-22T11:00:00.0/2024-08-22T12:00:00.0;960.6259;717.2316;540.6962;176.5354;749.8068;312.1129;24.7276;287.3854;34.2027;1.0000,
2024-08-22T12:00:00.0/2024-08-22T13:00:00.0;984.5878;734.2474;552.1973;182.0501;747.0366;434.8888;90.5096;344.3792;122.4012;1.0000,
2024-08-22T13:00:00.0/2024-08-22T14:00:00.0;956.0180;709.6147;542.9001;166.7145;756.4299;331.4859;30.7955;300.6903;42.6797;1.0000,
2024-08-22T14:00:00.0/2024-08-22T15:00:00.0;876.8402;641.3304;494.8136;146.5169;751.5538;201.1804;2.5722;198.6082;3.8589;1.0000,
2024-08-22T15:00:00.0/2024-08-22T16:00:00.0;752.4297;536.3447;411.2494;125.0953;727.4714;166.5394;1.7050;164.8344;2.9115;1.0000,
2024-08-22T16:00:00.0/2024-08-22T17:00:00.0;591.2470;403.4186;300.8802;102.5384;676.1594;65.5803;0.0782;65.5021;0.1564;1.0000,
2024-08-22T17:00:00.0/2024-08-22T18:00:00.0;404.2607;254.0787;177.3449;76.7337;579.1356;44.6674;0.0214;44.6460;0.0886;1.0000,
2024-08-22T18:00:00.0/2024-08-22T19:00:00.0;204.1994;105.5082;59.3856;46.1227;360.3980;54.6916;0.2164;54.4751;1.1339;1.0000,
2024-08-22T19:00:00.0/2024-08-22T20:00:00.0;26.7510;8.7336;2.0555;6.6781;35.4522;6.4167;0.0024;6.4142;0.0423;0.7667,
2024-08-22T20:00:00.0/2024-08-22T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-08-22T21:00:00.0/2024-08-22T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-08-22T22:00:00.0/2024-08-22T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-08-22T23:00:00.0/2024-08-23T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-08-23T00:00:00.0/2024-08-23T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-08-23T01:00:00.0/2024-08-23T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-08-23T02:00:00.0/2024-08-23T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-08-23T03:00:00.0/2024-08-23T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-08-23T04:00:00.0/2024-08-23T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2024-08-23T05:00:00.0/2024-08-23T06:00:00.0;34.5421;12.9712;4.8029;8.1683;75.9522;12.9712;4.8029;8.1683;75.9522;0.7083,
